"genes"	"modules"
"SYCP1"	"M8"
"RFX4"	"M6"
"LRRTM1"	"M4"
"EGR2"	"M7"
"MYOCD"	"M7"
"RPRML"	"M2"
"KCTD8"	"M2"
"GULP1"	"M3"
"MYL2"	"M3"
"TWIST2"	"M3"
"PCDH15"	"M1"
"BNC1"	"M4"
"PABPC5"	"M9"
"GPD1"	"M5"
"TMEM196"	"M1"
"C11orf63"	"M5"
"EXOC3L1"	"M3"
"CPNE9"	"M4"
"ZNF679"	"M8"
"TVP23A"	"M4"
"SPTBN5"	"M1"
"CHST6"	"M6"
"EDN3"	"M3"
"LGI2"	"M4"
"GSTM1"	"Not.Correlated"
"OLIG3"	"Not.Correlated"
"RND1"	"M2"
"CDH8"	"M1"
"SCN9A"	"M2"
"ACSF2"	"M3"
"SYCP2L"	"M8"
"GABRA6"	"M6"
"VWA5B2"	"M4"
"PTX3"	"M4"
"GABRB1"	"M5"
"ADAMTS14"	"M3"
"ESRRB"	"M3"
"PPP1R17"	"M9"
"GNGT1"	"M1"
"TRABD2A"	"M3"
"RTBDN"	"M1"
"CRLF1"	"M3"
"DKK4"	"M1"
"STK32B"	"M3"
"MOCOS"	"M5"
"GABRG1"	"M6"
"CXorf57"	"M5"
"MPP7"	"M1"
"PLD5"	"M6"
"ELMOD1"	"M6"
"IFNLR1"	"M6"
"FAM196A"	"M4"
"KCP"	"M4"
"EVC2"	"M3"
"CALB1"	"M6"
"PDC"	"M1"
"PNMT"	"M1"
"ASPN"	"M7"
"HS3ST5"	"M7"
"SLC7A2"	"M6"
"KCNJ16"	"M6"
"IGF2BP2"	"M5"
"CACNG3"	"M2"
"KCNK9"	"M4"
"GPR61"	"M1"
"COL4A3"	"M1"
"IGSF1"	"M2"
"FAM189A1"	"M5"
"PKIB"	"M5"
"HOXB3"	"M7"
"CPED1"	"M7"
"AQP6"	"M2"
"COL9A3"	"M3"
"HS3ST4"	"M5"
"HSPA6"	"M7"
"HOXC9"	"M8"
"CHRND"	"M3"
"GABRR2"	"M1"
"IMPG1"	"M1"
"PI16"	"M7"
"NWD1"	"M6"
"NETO1"	"M5"
"DDN"	"M2"
"TRIM72"	"M6"
"NDST4"	"M4"
"PDE6H"	"M1"
"GRM6"	"M1"
"KCNG1"	"M9"
"TRPV4"	"M2"
"MYO7B"	"M7"
"MAMDC2"	"M7"
"HRH3"	"M5"
"POTEE"	"M1"
"RGS9BP"	"M1"
"CPZ"	"M7"
"ZDHHC11"	"M4"
"CTNNA3"	"M6"
"CA8"	"M6"
"C1QL3"	"M1"
"HES5"	"M6"
"KCNS2"	"M2"
"WNT7A"	"M2"
"PTGER2"	"M8"
"TMEM266"	"M2"
"KCNK10"	"M5"
"CREB3L1"	"M7"
"XIRP1"	"M9"
"KCNG4"	"M1"
"PRDM13"	"M7"
"LPAR4"	"M2"
"SYT3"	"M5"
"RASSF9"	"M3"
"NAT16"	"M2"
"NNMT"	"M7"
"EN1"	"M3"
"LY6H"	"M6"
"CCDC169"	"M9"
"ONECUT1"	"M7"
"FOXL2"	"M3"
"KCNH3"	"M4"
"PTGS2"	"M8"
"MCUB"	"M3"
"GPR63"	"M4"
"TFPI2"	"M7"
"EIF1AY"	"Not.Correlated"
"FAM131C"	"M5"
"FOXA2"	"M2"
"PHF24"	"M5"
"PITX1"	"M1"
"PAPLN"	"M7"
"ESYT3"	"M1"
"SLC26A7"	"M1"
"DMRTA2"	"M8"
"TBX21"	"M8"
"LCNL1"	"M3"
"CDH1"	"M2"
"ABO"	"M2"
"TFAP2B"	"M6"
"JAKMIP3"	"M5"
"B3GAT2"	"M6"
"DSC3"	"M1"
"PITX2"	"M3"
"PCOLCE2"	"M1"
"PRR35"	"M9"
"NPY1R"	"M2"
"DCHS2"	"M4"
"DPP10"	"M6"
"XKR9"	"M8"
"LIX1"	"M6"
"SIAH3"	"M4"
"PPP1R14A"	"M7"
"MYO3B"	"M1"
"COX6B2"	"M1"
"ANO4"	"M2"
"ANKRD30B"	"M2"
"CCER2"	"M3"
"DUOX1"	"M4"
"ZNF99"	"M5"
"PACSIN3"	"M3"
"NKX2-2"	"M6"
"MASP1"	"M6"
"STON1-GTF2A1L"	"M6"
"NRK"	"M9"
"TMEM100"	"M3"
"HOXC13"	"M2"
"UBXN10"	"M2"
"GRID2IP"	"M5"
"LHX3"	"M1"
"SLCO1A2"	"M6"
"ENPP6"	"M3"
"HOXD13"	"M1"
"RIT2"	"M5"
"PVALB"	"M9"
"EDARADD"	"M3"
"FGF5"	"M5"
"ADAMTS15"	"M7"
"SLC4A11"	"M4"
"LRRTM4"	"M1"
"TLX3"	"M9"
"KLHL32"	"M5"
"TMEM132D"	"M4"
"CARNS1"	"M6"
"LMX1B"	"Not.Correlated"
"MAG"	"M6"
"FAM83G"	"M3"
"CILP2"	"M3"
"TYRP1"	"M8"
"BHMT"	"M1"
"GPR15"	"Not.Correlated"
"RPL39L"	"M2"
"CCDC36"	"M3"
"WNT7B"	"M4"
"CA12"	"M6"
"TNN"	"M7"
"TNNI2"	"M3"
"HAPLN4"	"M4"
"DLX4"	"M1"
"LHFPL3"	"M4"
"PRDM12"	"M8"
"LIPG"	"M6"
"SCARA5"	"M3"
"HS3ST2"	"M2"
"SOWAHA"	"M2"
"LRTM2"	"M2"
"SLC29A2"	"M3"
"VWDE"	"M3"
"ASIC4"	"M1"
"ACADL"	"M8"
"LRRC3B"	"M6"
"DNAH17"	"M3"
"CDKN2A"	"M2"
"CNNM1"	"M2"
"ZC3H12B"	"M4"
"HOXA3"	"M7"
"DBX1"	"M1"
"HS6ST3"	"M6"
"MROH7"	"M1"
"NCMAP"	"M1"
"FAM153B"	"M6"
"RERG"	"M1"
"MUSTN1"	"M3"
"C2orf72"	"M6"
"MYOT"	"M1"
"BHMT2"	"M1"
"VSX2"	"M1"
"CNGA1"	"M1"
"MEIOC"	"M2"
"FXYD1"	"M3"
"AMHR2"	"M1"
"INMT"	"M7"
"ETNPPL"	"M6"
"ADRA1A"	"M9"
"HIST1H4K"	"Not.Correlated"
"AGBL1"	"M1"
"KLHL1"	"M6"
"PTPN20"	"M2"
"CPXM2"	"M6"
"CLUL1"	"M1"
"SPINT1"	"M6"
"BEX5"	"M5"
"SCN7A"	"M7"
"USP43"	"M4"
"BMPER"	"M6"
"C8orf88"	"M3"
"HMGCLL1"	"M5"
"TAC3"	"M3"
"ACAN"	"M7"
"MEOX2"	"M3"
"MTRNR2L8"	"Not.Correlated"
"PAX7"	"M6"
"MAGEA3"	"M1"
"MUC5B"	"M1"
"HOXD9"	"M1"
"SLN"	"M6"
"NPW"	"M1"
"STAC2"	"M2"
"BCO1"	"M1"
"HOXA6"	"Not.Correlated"
"CYP39A1"	"M3"
"HS3ST3A1"	"M3"
"NMU"	"M4"
"PALM2"	"M4"
"HOXC12"	"M2"
"HAS2"	"M3"
"KLF1"	"M2"
"TBX5"	"M2"
"HOXC6"	"M1"
"CEACAM21"	"M8"
"PROKR1"	"M1"
"NKAPL"	"M2"
"LHX6"	"M7"
"ZNF676"	"M5"
"HOXD8"	"M1"
"PPBP"	"Not.Correlated"
"ESPN"	"M2"
"LRRIQ1"	"M8"
"ERMN"	"M6"
"MSX2"	"M6"
"SOSTDC1"	"M3"
"CHRNB4"	"M9"
"SCUBE1"	"M3"
"EFCAB5"	"M2"
"CCIN"	"M1"
"CLCF1"	"M2"
"NAALAD2"	"M7"
"LYVE1"	"M7"
"CLEC4F"	"M2"
"ETV3L"	"M1"
"KANK4"	"M3"
"MTRNR2L12"	"Not.Correlated"
"VRK2"	"M3"
"CACNG5"	"M1"
"GLB1L3"	"M2"
"BEND4"	"M2"
"BMP8B"	"M3"
"CBLN4"	"M2"
"CAMK1G"	"M5"
"APCDD1L"	"M1"
"ADAMTS16"	"M6"
"INHBA"	"M7"
"HTR5A"	"M2"
"NECAB2"	"M4"
"MAGEA2"	"M1"
"HOXD10"	"M1"
"AGXT"	"M3"
"SGCA"	"M3"
"MUC16"	"M1"
"RGR"	"M3"
"GPAT2"	"M2"
"HS6ST2"	"M4"
"ADGRG2"	"M3"
"DOK7"	"M4"
"PLPP2"	"M6"
"SLC7A3"	"M5"
"P2RX6"	"M1"
"SLC35D3"	"M4"
"RAB37"	"M6"
"NLRP11"	"M2"
"AIFM3"	"M6"
"PKP1"	"M1"
"OMD"	"M7"
"SHISA2"	"M3"
"CDH12"	"M8"
"SHISA7"	"M5"
"PCP4"	"M6"
"DAND5"	"M1"
"DAO"	"M6"
"MSC"	"M7"
"SOX3"	"M6"
"ADAMTS17"	"M5"
"KCNV2"	"M1"
"ACTG2"	"M7"
"PRODH"	"M6"
"ATP10B"	"M6"
"CALCB"	"M9"
"TACR3"	"M8"
"WDR72"	"M3"
"TUNAR"	"M5"
"HRASLS5"	"M4"
"TCEAL6"	"M5"
"CABP1"	"M9"
"TSPAN2"	"M2"
"C5orf38"	"M9"
"POTEI"	"M1"
"PENK"	"M2"
"MYOZ2"	"M9"
"ATP6V1C2"	"M1"
"CCDC152"	"M3"
"SMYD1"	"M8"
"FOXL2NB"	"M3"
"AP1M2"	"Not.Correlated"
"HOXA11"	"M2"
"CRTAM"	"M9"
"HOXB13"	"M8"
"PDZRN4"	"M4"
"SCRG1"	"M6"
"TINCR"	"M8"
"STK26"	"M7"
"LHCGR"	"M3"
"STEAP4"	"M7"
"ASCL2"	"M3"
"JAKMIP1"	"M4"
"NRTN"	"M1"
"USH1G"	"M2"
"SCGN"	"M9"
"ALDH1A2"	"M7"
"HES2"	"M2"
"LGI3"	"M6"
"WNK4"	"M3"
"SAMD7"	"M1"
"TRIM17"	"M4"
"MAGEA6"	"M1"
"DSCR8"	"M1"
"SLC2A12"	"M9"
"PCP4L1"	"M1"
"DPEP1"	"M8"
"ADM2"	"M3"
"DRGX"	"M4"
"GPR17"	"M6"
"KCNJ4"	"M4"
"F10"	"M3"
"OSR2"	"M3"
"GJA3"	"M1"
"ARMC4"	"M3"
"SALL4"	"M3"
"LRRC53"	"M1"
"EVPL"	"M1"
"TOX2"	"M5"
"SCNN1G"	"M5"
"C7orf33"	"M8"
"SLC22A8"	"M1"
"ATP2C2"	"M4"
"FUT1"	"M3"
"GUCA1A"	"M1"
"SCN4A"	"M3"
"KCNH4"	"M4"
"FABP3"	"M3"
"ZNF257"	"M5"
"SCNN1B"	"M5"
"ANKRD35"	"M9"
"MRLN"	"M4"
"TP53TG3D"	"M2"
"EGR4"	"M4"
"SOX1"	"M9"
"RASSF10"	"M1"
"PKHD1"	"M1"
"NGB"	"M5"
"GPC5"	"M1"
"SLC39A12"	"M6"
"GCNT4"	"M8"
"S100A8"	"Not.Correlated"
"SHISA8"	"M6"
"ZNF541"	"M2"
"NKAIN2"	"M6"
"CHRNG"	"M3"
"CCDC175"	"M2"
"CNDP1"	"M6"
"SLC22A31"	"M5"
"GLS2"	"M5"
"GALR1"	"M1"
"CDRT4"	"M1"
"DACH2"	"M7"
"TUBB1"	"Not.Correlated"
"HAPLN2"	"M6"
"FAM153A"	"M6"
"SPOCD1"	"M1"
"UNC45B"	"Not.Correlated"
"C10orf71"	"M3"
"NPFFR1"	"M4"
"PTER"	"M3"
"MAGEC1"	"M1"
"PODNL1"	"M3"
"SLC47A1"	"M3"
"CEACAM19"	"M3"
"MAPK15"	"Not.Correlated"
"FAM133A"	"M1"
"MARCH11"	"M2"
"MAFA"	"M3"
"PTPRH"	"M3"
"HIST2H3PS2"	"M2"
"FAM160A1"	"M1"
"CAV3"	"M1"
"OTOF"	"M4"
"MLXIPL"	"M6"
"RAPSN"	"M3"
"HOXD4"	"M1"
"SLC44A3"	"M9"
"TXLNB"	"M4"
"OPTC"	"M3"
"DKK1"	"M1"
"HOXA4"	"Not.Correlated"
"CFAP77"	"M8"
"TERT"	"M1"
"MCTP2"	"M3"
"NPIPA8"	"M4"
"GDNF"	"M3"
"COL20A1"	"M1"
"GPR160"	"M1"
"TBC1D3C"	"Not.Correlated"
"TAL2"	"M1"
"CHRNE"	"M3"
"NKX6-2"	"M6"
"HTR2A"	"M6"
"CRYM"	"M5"
"FCER2"	"M1"
"ADGRA1"	"M9"
"TNFRSF11B"	"M3"
"S100A1"	"M6"
"RET"	"M9"
"ABHD12B"	"M6"
"HIST1H1A"	"Not.Correlated"
"ABCC6"	"M1"
"CHI3L2"	"M6"
"NPIPB15"	"Not.Correlated"
"WNT9A"	"M3"
"ASCL1"	"M6"
"WBP2NL"	"M8"
"TTC6"	"M1"
"NPAS4"	"M7"
"SRD5A2"	"M3"
"RHOH"	"M8"
"FAM153C"	"M6"
"LMOD2"	"M1"
"CER1"	"M2"
"LACTBL1"	"M1"
"SRPK3"	"M1"
"HMGA2"	"M7"
"NGF"	"M3"
"EFNA2"	"M9"
"GAD2"	"M6"
"ZRSR1"	"M8"
"KLHDC7A"	"M8"
"ZNF215"	"M8"
"MTMR8"	"M4"
"ZYG11A"	"Not.Correlated"
"FGF8"	"M1"
"FST"	"M3"
"MYPN"	"M6"
"KDELR3"	"M7"
"GPR143"	"M4"
"RXFP3"	"M3"
"GATA6"	"M7"
"LEFTY2"	"M3"
"MUC4"	"M3"
"MOG"	"M6"
"SLC17A8"	"M3"
"ZNF560"	"Not.Correlated"
"CR1"	"M7"
"USP6"	"M8"
"WNT10A"	"M1"
"PDZK1"	"M4"
"MYOZ1"	"M3"
"CYB5R2"	"M3"
"MCHR1"	"M1"
"FAM163A"	"M5"
"ASPG"	"M1"
"DLX6"	"Not.Correlated"
"CNN1"	"M7"
"LINGO3"	"M4"
"CAMK2A"	"M6"
"ZNF98"	"M5"
"CCDC155"	"M1"
"TMEM215"	"Not.Correlated"
"TMEM265"	"M5"
"RASAL1"	"M2"
"EFNA4"	"M3"
"BEAN1"	"M4"
"C8orf34"	"M1"
"TNFRSF9"	"M5"
"STAT4"	"M3"
"ANKRD18B"	"M5"
"SLC17A9"	"M3"
"FMO2"	"M7"
"RSPO4"	"M3"
"VAX1"	"M7"
"C14orf39"	"M8"
"GJA5"	"M7"
"SLC16A12"	"M7"
"IL20RA"	"M4"
"OR2W3"	"M8"
"SLC6A7"	"M5"
"MAGEE2"	"M2"
"FAM69C"	"M6"
"HOXB2"	"M7"
"GPA33"	"M8"
"ZNF208"	"M5"
"RNF175"	"M5"
"C6orf132"	"M2"
"CCDC144NL"	"M2"
"TMPRSS9"	"M3"
"HOXD11"	"M1"
"FUT3"	"M1"
"MME"	"M7"
"CCDC129"	"M6"
"DAPL1"	"M3"
"ADRB1"	"M4"
"PRKCG"	"M6"
"ANGPTL7"	"M2"
"SALL3"	"M6"
"L1TD1"	"Not.Correlated"
"TRIM7"	"M5"
"PIP5K1B"	"M6"
"PLSCR5"	"M1"
"EVX2"	"M1"
"NUTM2E"	"M5"
"OMG"	"M6"
"KCNK17"	"M4"
"OPRM1"	"M9"
"CACNG8"	"M6"
"NTSR1"	"M3"
"SMTNL2"	"M2"
"ALX1"	"M8"
"CHAD"	"M6"
"GSTT2B"	"M1"
"OTOG"	"M2"
"EIF4E1B"	"M4"
"FOXC2"	"M7"
"SOX21"	"M6"
"MAGEC2"	"M1"
"HBG2"	"M7"
"SERPINA5"	"M1"
"NIPAL1"	"M1"
"TMEM235"	"M4"
"RPL3L"	"M1"
"ASCL4"	"M1"
"GBX2"	"M9"
"C2CD4C"	"M1"
"HOXA13"	"M1"
"SLC14A1"	"M9"
"CFAP74"	"M1"
"FCGR3B"	"Not.Correlated"
"KBTBD11-OT1"	"M3"
"MYBPC2"	"M3"
"KCNA4"	"M4"
"ISM1"	"M6"
"MB"	"M6"
"AKAIN1"	"M4"
"HOXC8"	"M1"
"SLC25A48"	"M8"
"RGPD1"	"M1"
"GNG13"	"M1"
"IKZF3"	"M7"
"NPAS1"	"M1"
"RS1"	"M1"
"MYO3A"	"M3"
"TNK1"	"M1"
"UPB1"	"M1"
"ANKRD18A"	"M9"
"TH"	"M1"
"TMC3"	"M2"
"RDH12"	"M1"
"DMKN"	"M3"
"CXCR2"	"Not.Correlated"
"GABRA4"	"M6"
"ICAM5"	"M5"
"TMSB4Y"	"M2"
"CLDN19"	"M1"
"ANKRD20A4"	"M8"
"FAM110C"	"M2"
"SLC27A6"	"M1"
"GALNTL6"	"M9"
"PLIN5"	"M5"
"GOLGA8K"	"M3"
"PLGLB2"	"M4"
"KRT14"	"M3"
"GOLGA8H"	"M3"
"PLIN4"	"M5"
"LMO1"	"M1"
"CMTM5"	"M4"
"NEK5"	"M8"
"TBC1D3D"	"Not.Correlated"
"TMEM114"	"M8"
"NKX2-5"	"M4"
"CFAP47"	"M8"
"MAGEA2B"	"M1"
"CHIT1"	"M6"
"COX6A2"	"M5"
"CYP2W1"	"M1"
"TSPEAR"	"M8"
"SLC18A3"	"M4"
"SLC6A20"	"M3"
"ANKRD1"	"M7"
"DPP4"	"M3"
"TRABD2B"	"M7"
"IL18R1"	"M7"
"CDC42EP5"	"M7"
"OSR1"	"M7"
"CSAG3"	"M1"
"CYP11A1"	"M4"
"CABP2"	"M1"
"CD28"	"M7"
"FAM196B"	"M6"
"TMEM74B"	"M2"
"BSX"	"M2"
"TRIM54"	"M3"
"SOHLH2"	"M9"
"ARSI"	"M3"
"FGF20"	"M4"
"TMC2"	"M2"
"SPINK5"	"M1"
"HTR1B"	"M1"
"CHST9"	"M9"
"HHATL"	"M6"
"OTOR"	"M2"
"HCRTR1"	"M2"
"MAGEA12"	"M1"
"BSPRY"	"M1"
"C11orf70"	"M3"
"KLHL40"	"M5"
"FHAD1"	"M3"
"ATAD3C"	"M3"
"ST6GALNAC2"	"M1"
"GPR78"	"M7"
"MALRD1"	"M1"
"PCDH20"	"M6"
"ISL2"	"M4"
"NKX3-2"	"M1"
"F2RL2"	"M7"
"ABCC12"	"M2"
"NOX5"	"Not.Correlated"
"CABP4"	"M3"
"STAC"	"M5"
"USH1C"	"M6"
"DDX43"	"Not.Correlated"
"VSX1"	"M6"
"CYP4F12"	"M6"
"ZNF729"	"M5"
